aAcc,mIoU,mAcc,mDice,mFscore,mPrecision,mRecall,data_time,time,step
78.62,28.0,36.35,36.82,36.82,57.23,36.35,0.17825129628181458,5.450183555483818,100
78.42,23.95,30.97,31.48,39.35,37.93,30.97,0.0046692876254811,0.6560103753033806,200
79.71,26.85,33.01,36.63,36.63,54.13,33.01,0.003595422295963063,0.6504093618953929,300
74.34,35.89,53.52,49.88,49.88,52.76,53.52,0.003926950342514936,0.6538025912116555,400
73.02,28.4,40.38,39.19,39.19,44.31,40.38,0.0037774057949290555,0.6502804195179659,500
78.78,31.05,45.92,41.89,41.89,52.43,45.92,0.0032840897055233225,0.6541179067948285,600
81.59,37.42,60.19,50.74,50.74,65.4,60.19,0.004246136721442728,0.6522563345292035,700
77.92,41.09,71.23,55.81,55.81,50.54,71.23,0.004197429208194508,0.6553585389081169,800
72.34,21.81,35.03,28.35,28.35,36.63,35.03,0.002677566864911248,0.650644063949585,900
79.14,45.5,67.9,60.95,60.95,57.95,67.9,0.0026104169733384077,0.6512324389289407,1000
85.93,53.17,66.62,67.62,67.62,70.0,66.62,0.0035393799052518956,0.6496002674102783,1100
86.29,55.76,67.59,69.85,69.85,74.58,67.59,0.002045729581047507,0.6553419758291805,1200
82.62,46.88,69.8,61.5,61.5,61.99,69.8,0.0029696436489329617,0.6580333569470573,1300
78.63,46.23,68.36,61.56,61.56,61.4,68.36,0.0029619160820456114,0.6573850968304802,1400
86.53,52.17,60.91,66.32,66.32,80.6,60.91,0.003760379903456744,0.6545827809502097,1500
82.67,38.8,50.24,52.01,52.01,70.41,50.24,0.0022181062137379367,0.6577551645391128,1600
75.79,40.28,65.02,53.97,53.97,49.85,65.02,0.002717410816865809,0.6557216784533333,1700
81.1,38.61,49.01,51.14,51.14,76.95,49.01,0.001829231486600988,0.6539687549366671,1800
77.19,52.75,78.04,68.19,68.19,65.01,78.04,0.0016431107240564684,0.6584653012892779,1900
89.22,53.18,65.04,67.13,67.13,78.34,65.04,0.001293308594647576,0.6564745622522691,2000
85.33,52.39,68.99,66.73,66.73,66.96,68.99,0.0034789898816276997,0.6584661708158606,2100
84.95,51.47,61.32,66.53,66.53,74.31,61.32,0.0024988090290742762,0.6590682338265812,2200
77.62,35.76,42.93,47.8,47.8,67.49,42.93,0.0031644877265481386,0.6561642254100126,2300
79.32,47.38,74.96,62.85,62.85,57.13,74.96,0.0022787066066966336,0.6555909970227409,2400
81.54,43.64,54.84,57.48,57.48,78.49,54.84,0.003060607349171358,0.6502949209774241,2500
87.36,55.97,72.19,70.45,70.45,70.82,72.19,0.003472131841322955,0.6532530223622042,2600
83.83,46.53,57.29,61.38,61.38,73.19,57.29,0.004827387192670037,0.651746904148775,2700
80.96,36.13,42.39,47.6,47.6,66.67,42.39,0.00496827854829676,0.650912831811344,2800
90.17,57.51,72.47,71.31,71.31,73.57,72.47,0.0035849318784825944,0.652633176130407,2900
82.99,55.97,72.33,70.03,70.03,69.19,72.33,0.0032640204710118912,0.6571470288669362,3000
85.51,54.12,69.51,68.73,68.73,74.2,69.51,0.0023398539599250347,0.6566628287820255,3100
84.36,53.1,74.94,66.14,66.14,64.77,74.94,0.0037087552687701058,0.6550571217256433,3200
89.33,59.38,72.12,73.44,73.44,77.99,72.12,0.002194965586942785,0.6538063217611874,3300
85.05,54.89,66.31,69.06,69.06,78.09,66.31,0.0028296638937557444,0.6571444904102999,3400
86.58,48.73,56.97,63.04,63.04,74.57,56.97,0.001951133503633387,0.6565732675440171,3500
88.66,59.0,75.02,72.61,72.61,76.79,75.02,0.0033037522259880513,0.6559437302982106,3600
89.35,58.91,72.61,72.65,72.65,74.85,72.61,0.004509631325216854,0.65514996472527,3700
90.15,62.36,82.27,75.88,75.88,73.06,82.27,0.0023426168105181527,0.6548609733581543,3800
87.57,57.24,69.08,71.35,71.35,81.26,69.08,0.0024411958806654986,0.6529128130744485,3900
84.46,47.63,69.38,60.68,60.68,70.15,69.38,0.003739469191607307,0.6559903341181138,4000
84.1,44.63,66.78,58.38,58.38,66.02,66.78,0.00392459420596852,0.6561849818510168,4100
88.28,56.51,70.06,70.84,70.84,72.59,70.06,0.004679693895227769,0.6582483684315401,4200
85.66,45.84,65.11,57.21,57.21,55.17,65.11,0.0030206512002383962,0.6513828810523538,4300
88.61,52.56,58.13,66.84,66.84,83.95,58.13,0.003590752096737132,0.6581198748420266,4400
85.31,53.76,75.08,67.57,67.57,68.43,75.08,0.00305941525627585,0.654304588542265,4500
77.05,36.97,51.1,49.08,49.08,55.35,51.1,0.0026107114904067095,0.6584431704352883,4600
84.45,47.75,58.78,60.74,60.74,78.89,58.78,0.0016856193542480469,0.655258108587826,4700
86.54,50.66,57.66,64.06,64.06,76.54,57.66,0.002272956511553596,0.6560582693885354,4800
86.37,52.51,61.16,67.03,67.03,77.8,61.16,0.0036006394554586973,0.6532116497264189,4900
