epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0293,1.01976,2.46126,3.46976,1.33045,0.45423,0.6119,0.38604,0.21591,0.43417,0.6,0.36926,0.19841,1.41422,3.1249,6.9283,1.88127,0.0001375,0.0001375,0.0001375
2,26.7895,0.95687,1.97175,2.15205,1.27467,0.5935,0.2826,0.26588,0.16938,0.37749,0.15714,0.11161,0.03102,1.75614,13.5729,4.03317,2.40039,0.000284654,0.000284654,0.000284654
3,36.0719,1.11442,2.10725,1.95362,1.46001,0.24803,0.44473,0.29157,0.12341,0.14528,0.24524,0.10269,0.03624,2.19385,13.6309,3.9613,3.00651,0.000428838,0.000428838,0.000428838
4,45.7754,1.15869,2.20589,1.85521,1.38196,0.32438,0.35734,0.24644,0.08818,0.29704,0.24524,0.1583,0.06152,2.66123,8.52333,8.38775,3.58472,0.000570051,0.000570051,0.000570051
5,55.2382,1.28889,2.51716,1.86901,1.52072,0.26837,0.23333,0.13142,0.05484,0.3627,0.14524,0.1131,0.04248,2.81498,9.31486,5.29243,3.43109,0.000708295,0.000708295,0.000708295
6,64.8174,1.33291,2.25781,1.78955,1.50621,0.20427,0.26429,0.18781,0.09728,0.27107,0.14286,0.13897,0.0551,2.85074,10.7193,4.70621,3.3495,0.000843569,0.000843569,0.000843569
7,74.2919,1.43114,2.47522,2.13829,1.62327,0.84463,0.07143,0.05303,0.03003,0.84463,0.07143,0.04103,0.01301,2.85023,31.3102,6.08729,2.94202,0.000975872,0.000975872,0.000975872
8,83.7047,1.302,2.60301,1.84332,1.49543,0.06315,0.19612,0.02678,0.01153,0.0411,0.14286,0.01284,0.00466,2.83259,43.6263,14.8776,3.92653,0.00110521,0.00110521,0.00110521
9,93.621,1.33612,2.46899,1.79279,1.52187,0.32468,0.0119,0.0113,0.00387,0.3252,0.0119,0.01686,0.00363,3.17678,27.6208,inf,4.47823,0.001151,0.001151,0.001151
10,103.326,1.46666,2.82304,1.80607,1.60097,0.09496,0.0119,0.01083,0.00421,0.01834,0.0119,0.00623,0.00122,3.18477,20.9475,inf,6.07352,0.00113863,0.00113863,0.00113863
11,113.22,1.35251,2.46703,1.72438,1.55794,0.32838,0.0119,0.00951,0.00191,0.02656,0.0119,0.00529,0.00054,3.02606,15.3209,inf,5.20389,0.00112625,0.00112625,0.00112625
12,122.596,1.34932,2.33194,1.75005,1.54181,0.59451,0.0119,0.00707,0.00241,0.25004,0.05,2e-05,1e-05,2.94681,17.3034,inf,4.44628,0.00111388,0.00111388,0.00111388
13,132.071,1.23364,2.2637,1.55808,1.4662,0.33572,0.30322,0.17072,0.07114,0.1478,0.18571,0.04177,0.02217,2.45462,11.3436,64.0425,3.43705,0.0011015,0.0011015,0.0011015
14,141.656,1.29935,2.42564,1.54333,1.44259,0.25934,0.42619,0.19113,0.11088,0.23427,0.32857,0.15041,0.08307,2.38417,8.09129,23.4442,3.40408,0.00108913,0.00108913,0.00108913
15,151.164,1.22375,2.15867,1.5023,1.39415,0.38947,0.29814,0.25988,0.07872,0.37332,0.28713,0.21943,0.06009,2.47994,6.26576,3.37664,3.34414,0.00107675,0.00107675,0.00107675
